nzz;ta;blick;20min;baz;az;bund;luz;südost;weltwoche;woz;watson
143694099006529_1509300519112540;177194474660_10155196267279661;62562538918_10155261221493919;29396596956_10154293692511957;111236060676_10154492077140677;118231518201711_1503386369686212;178913512122277_1585225834824364;170815382956921_1860657417306034;149845148361826_1446252178721110;38916537049_10154199922972050;193485802047_10155165308742048;536723559736207_1441088889299665
143694099006529_1509297532446172;177194474660_10155196258194661;62562538918_10155261203333919;29396596956_10154291405921957;111236060676_10154491049190677;118231518201711_1503377593020423;178913512122277_1585086934838254;170815382956921_1860294324009010;149845148361826_1446368832042778;38916537049_10154184353037050;193485802047_10155161057522048;536723559736207_1442999999108554
143694099006529_1509196609122931;177194474660_10155196220824661;62562538918_10155260173138919;29396596956_10154291826216957;111236060676_10154490592040677;118231518201711_1502739689750880;178913512122277_1585057744841173;170815382956921_1864263163612126;149845148361826_1446515305361464;38916537049_10154184347522050;193485802047_10155157054012048;536723559736207_1442629172478970
143694099006529_1509081165801142;177194474660_10155196187039661;62562538918_10155260104983919;29396596956_10154266386866957;111236060676_10154490549770677;118231518201711_1502733609751488;178913512122277_1584949188185362;170815382956921_1860054210699688;149845148361826_1446624632017198;38916537049_10154184342102050;193485802047_10155157045287048;536723559736207_1442477222494165
143694099006529_1508986929143899;177194474660_10155196054399661;62562538918_10155260068253919;29396596956_10154292015681957;111236060676_10154490512270677;118231518201711_1502555556435960;178913512122277_1584839588196322;170815382956921_1859907310714378;149845148361826_1446645705348424;38916537049_10154184337497050;193485802047_10155157035972048;536723559736207_1441080265967194
143694099006529_1508783739164218;177194474660_10155196095754661;62562538918_10155260032983919;29396596956_10154291653866957;111236060676_10154490212845677;118231518201711_1499694763388706;178913512122277_1584776844869263;170815382956921_1859338200771289;149845148361826_1446297788716549;38916537049_10154181871527050;193485802047_10155156755182048;536723559736207_1442357312506156
143694099006529_1508703875838871;177194474660_10155196053399661;62562538918_10155259954523919;29396596956_10154291694736957;111236060676_10154490113605677;118231518201711_1502502049774644;178913512122277_1584092704937677;170815382956921_1859237170781392;149845148361826_1446529672026694;38916537049_10154173775882050;193485802047_10155156753897048;536723559736207_1441094225965798
143694099006529_1508631125846146;177194474660_10155195990739661;62562538918_10155259805423919;29396596956_10154291648376957;111236060676_10154489916395677;118231518201711_1502500933108089;178913512122277_1583926701620944;170815382956921_1859236747448101;149845148361826_1446522435360751;38916537049_10154167785192050;193485802047_10155148867267048;536723559736207_1442197922522095
143694099006529_1508607222515203;177194474660_10155194423044661;62562538918_10155259665738919;29396596956_10154291451321957;111236060676_10154489855385677;118231518201711_1502452359779613;178913512122277_1583818314965116;170815382956921_1859206477451128;149845148361826_1446401378706190;38916537049_10154167770647050;193485802047_10155148866332048;536723559736207_1442091072532780
143694099006529_1508534725855786;177194474660_10155194292794661;62562538918_10155259506303919;29396596956_10154291465321957;111236060676_10154489823520677;118231518201711_1502442433113939;178913512122277_1583710851642529;170815382956921_1859154784122964;149845148361826_1446400362039625;38916537049_10154167758787050;193485802047_10155148296587048;536723559736207_1442028025872418
143694099006529_1508533585855900;177194474660_10155194248549661;62562538918_10155259423543919;29396596956_10154291091886957;111236060676_10154489739250677;118231518201711_1501533523204830;178913512122277_1582721301741484;170815382956921_1858971054141337;149845148361826_1446357858710542;38916537049_10154167779127050;193485802047_10155148290697048;536723559736207_1441076279300926
143694099006529_1508453715863887;177194474660_10155194236074661;62562538918_10155259381203919;29396596956_10154291075931957;111236060676_10154489653000677;118231518201711_1502025869822262;178913512122277_1582587645088183;170815382956921_1858891824149260;149845148361826_1446273355385659;38916537049_10154165177257050;193485802047_10155135256667048;536723559736207_1441134439295110
143694099006529_1508447749197817;177194474660_10155194214399661;62562538918_10155259351628919;29396596956_10154290948266957;111236060676_10154489642825677;118231518201711_1501969496494566;178913512122277_1582576948422586;170815382956921_1858841904154252;149845148361826_1446293198717008;38916537049_10154160990777050;193485802047_10155135253292048;536723559736207_1441124649296089
